,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
59,43,4071,4135,26496.87798,30100.75,154966.49685999996,0.13601119432712871,2023-06-19 21:30:00,2023-06-22 13:30:00,2 days 16:00:00
60,-43,4135,4390,30040.5485,30651.28,-26261.454499999916,-0.020330237978178012,2023-06-22 13:30:00,2023-07-03 04:30:00,10 days 15:00:00
61,41,4390,4416,30712.58256,31112.86,16411.375040000068,0.013033011444674836,2023-07-03 04:30:00,2023-07-04 06:30:00,1 days 02:00:00
62,-2,4519,4566,30132.973280000002,30089.65,86.64656000000105,0.0014377366480710085,2023-07-08 13:30:00,2023-07-10 12:30:00,1 days 23:00:00
63,-41,4416,4566,31050.634280000002,30089.65,39400.35548000003,0.030948942019486503,2023-07-04 06:30:00,2023-07-10 12:30:00,6 days 06:00:00
64,44,4566,4612,30149.8293,30635.36,21363.35079999997,0.016103928654746857,2023-07-10 12:30:00,2023-07-12 10:30:00,1 days 22:00:00
65,-44,4612,4699,30574.08928,30326.47,10895.248319999955,0.008098991199125605,2023-07-12 10:30:00,2023-07-16 01:30:00,3 days 15:00:00
66,44,4699,4847,30387.12294,29901.72,-21357.729359999998,-0.015973968347001377,2023-07-16 01:30:00,2023-07-22 05:30:00,6 days 04:00:00
67,-44,4847,4877,29841.91656,29921.99,-3523.231360000005,-0.0026832539337413586,2023-07-22 05:30:00,2023-07-23 11:30:00,1 days 06:00:00
68,44,4877,4885,29981.833980000003,29888.35,-4113.295120000199,-0.0031180207342340616,2023-07-23 11:30:00,2023-07-23 19:30:00,0 days 08:00:00
69,-44,4885,4926,29828.5733,29144.67,30091.745200000078,0.022927791186043822,2023-07-23 19:30:00,2023-07-25 12:30:00,1 days 17:00:00
70,46,4926,4982,29202.959339999998,29350.0,6763.87036000011,0.005035128744592665,2023-07-25 12:30:00,2023-07-27 20:30:00,2 days 08:00:00
71,-46,4982,5032,29291.3,29308.46,-789.3599999999933,-0.0005858394813476053,2023-07-27 20:30:00,2023-07-29 22:30:00,2 days 02:00:00
72,46,5032,5081,29367.07692,29216.0,-6949.538319999978,-0.0051444316508433285,2023-07-29 22:30:00,2023-07-31 23:30:00,2 days 01:00:00
73,-46,5081,5107,29157.568,29274.42,-5375.191999999952,-0.0040076044751056195,2023-07-31 23:30:00,2023-08-02 01:30:00,1 days 02:00:00
74,46,5107,5211,29332.968839999998,29064.0,-12372.566639999895,-0.009169506212177825,2023-08-02 01:30:00,2023-08-06 09:30:00,4 days 08:00:00
75,-46,5211,5214,29005.872,29070.18,-2958.1680000000415,-0.002217068323269178,2023-08-06 09:30:00,2023-08-06 12:30:00,0 days 03:00:00
76,46,5214,5261,29128.32036,29249.13,5557.2434399999765,0.0041474976417075204,2023-08-06 12:30:00,2023-08-08 11:30:00,1 days 23:00:00
77,-46,5261,5397,29190.63174,29367.2,-8122.13996,-0.006048798860287974,2023-08-08 11:30:00,2023-08-14 03:30:00,5 days 16:00:00
78,45,5397,5443,29425.934400000002,29181.73,-10989.198000000106,-0.00829895141749526,2023-08-14 03:30:00,2023-08-16 01:30:00,1 days 22:00:00
79,-45,5443,5466,29123.36654,29171.99,-2188.0557000001136,-0.0016695686583219072,2023-08-16 01:30:00,2023-08-17 00:30:00,0 days 23:00:00
